_id,ONDERWIJSBESTUURID,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDERGROEPID,ONDERWIJSBEGELEIDINGSAANBIEDERID,BEGINDATUM,EINDDATUM,CONTEXT,SUBCONTEXT_NUMMER,SUBCONTEXT,CONTACTNAAM,EMAILADRES,FAXNUMMER,TELEFOONNUMMER,WEBADRES,BEZOEKNL_STRAATNAAM,BEZOEKNL_HUISNUMMER,BEZOEKNL_HUISNUMMERTOEVOEGING,BEZOEKNL_POSTCODE,BEZOEKNL_PLAATSNAAM,POSTNL_STRAATNAAM,POSTNL_HUISNUMMER,POSTNL_HUISNUMMERTOEVOEGING,POSTNL_POSTCODE,POSTNL_PLAATSNAAM,BEZOEKBTL_ADRESREGEL_EEN,BEZOEKBTL_ADRESREGEL_TWEE,BEZOEKBTL_ADRESREGEL_DRIE,BEZOEKBTL_LANDNAAM,POSTBTL_ADRESREGEL_EEN,POSTBTL_ADRESREGEL_TWEE,POSTBTL_ADRESREGEL_DRIE,POSTBTL_LANDNAAM
1,100B001,,,,2021-05-24T00:00:00,,ALGEMEEN,1,,,bestuursbureau@rvko.nl,,0104537500,http://www.rvko.nl,Stationssingel,80,,3033HJ,ROTTERDAM,Postbus,4250,,3006AG,ROTTERDAM,,,,,,,,
2,100B004,,,,2014-01-02T00:00:00,,ALGEMEEN,1,,,,,0591685555,http://www.openbaaronderwijsemmen.nl,Raadhuisplein,1,,7811AP,EMMEN,Postbus,30001,,7800RA,EMMEN,,,,,,,,
3,100B006,,,,2021-04-16T00:00:00,,ALGEMEEN,1,,,bestuur@lucasonderwijs.nl,,0703001100,http://www.lucasonderwijs.nl,Saffierhorst,105,,2592GK,'S-GRAVENHAGE,Postbus,93231,,2509AE,'S-GRAVENHAGE,,,,,,,,
4,100B015,,,,2024-05-28T00:00:00,,ALGEMEEN,1,,,info@unicoz.nl,,0793208830,http://www.unicoz.nl,Louis Braillelaan,60,,2719EK,Zoetermeer,Louis Braillelaan,60,,2719EK,Zoetermeer,,,,,,,,
5,100B018,,,,2022-05-11T00:00:00,,ALGEMEEN,1,,Bestuur,bestuur@cb.espritscholen.nl,,0205854811,http://www.espritscholen.nl,Jan van Galenstraat,31,,1051KM,Amsterdam,Jan van Galenstraat,31,,1051KM,Amsterdam,,,,,,,,
6,100B029,,,,2025-11-25T00:00:00,,ALGEMEEN,1,,Secretariaat,pcbo@pcbo.nl,,0104191300,http://www.pcbo.nl,Elzendaal,15,,3075LS,ROTTERDAM,Postbus,50529,,3007JA,ROTTERDAM,,,,,,,,
7,100B031,,,,2025-05-20T00:00:00,,ALGEMEEN,1,,,secretariaat.cvb@scoleiden.nl,,0715175551,http://www.scoleiden.nl,Marienpoelstraat,4,,2334CZ,LEIDEN,Postbus,4049,,2301RA,LEIDEN,,,,,,,,
8,100B032,,,,2025-11-11T00:00:00,,ALGEMEEN,1,,,bs@skoe.nl,,0534349400,http://www.skoe.nl,Moutlaan,31,,7523MC,ENSCHEDE,,,,,,,,,,,,,
9,100B039,,,,2022-07-06T00:00:00,,ALGEMEEN,1,,,info@scoh.nl,,0703118787,http://www.scoh.nl,Burgemeester Patijnlaan,19,,2585BE,'s-Gravenhage,Postbus,18546,,2502EM,'S-GRAVENHAGE,,,,,,,,
10,100B048,,,,2021-12-21T00:00:00,,ALGEMEEN,1,,,info@trinamiek.nl,,0306868444,http://www.trinamiek.nl,Boerhaaveweg,39,,3401MN,IJSSELSTEIN UT,Boerhaaveweg,39,,3401MN,IJsselstein,,,,,,,,
11,100B052,,,,2021-11-25T00:00:00,,ALGEMEEN,1,,,buro@kindante.nl,,0464363366,http://www.kindante.nl,Dr. Nolenslaan,138,,6136GV,SITTARD,Dr. Nolenslaan,138,,6136GV,SITTARD,,,,,,,,
12,100B055,,,,2024-10-02T00:00:00,,ALGEMEEN,1,,Administratie,administratie@ggsroeske.nl,,0206750419,http://www.geertgrooteschool.nl,Eerste Nassaustraat,5,,1052BD,Amsterdam,Eerste Nassaustraat,5,,1052BD,Amsterdam,,,,,,,,
13,100B069,,,,2024-02-02T00:00:00,,ALGEMEEN,1,,,info@laurentiusstichting.nl,,0152511440,http://www.laurentiusstichting.nl,Burgemeestersrand,59,,2625NV,DELFT,Burgemeestersrand,59,,2625NV,Delft,,,,,,,,
14,100B075,,,,2021-07-07T00:00:00,,ALGEMEEN,1,,,info@varietas.nl,,0850435490,http://www.varietas.nl,Bosanemoon,30,,7422NW,DEVENTER,Bosanemoon,30,,7422NW,DEVENTER,,,,,,,,
15,100B077,,,,2021-04-29T00:00:00,,ALGEMEEN,1,,Secretariaat,secretariaat@h3o.nl,,0788905000,http://www.h3o.nl,Kolfstraat,120,,3311XL,DORDRECHT,Postbus,151,,3300AD,DORDRECHT,,,,,,,,
16,100B081,,,,2009-08-01T00:00:00,,ALGEMEEN,1,,,,,0356460088,http://www.atscholen.nl,Emmastraat,58,,1213AL,HILVERSUM,Postbus,700,,1200AS,HILVERSUM,,,,,,,,
17,100B083,,,,2025-11-04T00:00:00,,ALGEMEEN,1,,Secretariaat,csbsecretariaat@rijnlands.onmicrosoft.com,,0715730910,http://www.rijnlandslyceum.nl,Charlotte van Pallandtlaan,14,,2272TR,Voorburg,Charlotte van Pallandtlaan,14,,2272TR,Voorburg,,,,,,,,
18,100B090,,,,2021-06-17T00:00:00,,ALGEMEEN,1,,,info@vechtstreekenvenen.nl,,0346264847,http://www.vechtstreekenvenen.nl,Schepersweg,6,d,3621JK,BREUKELEN UT,Postbus,7,,3620AA,BREUKELEN UT,,,,,,,,
19,100B103,,,,2025-11-18T00:00:00,,ALGEMEEN,1,,Secretariaat,info@stichtingovo.nl,,0183650440,http://www.stichtingovo.nl,Merwe Donk,10,,4207XB,GORINCHEM,Merwe Donk,10,,4207XB,GORINCHEM,,,,,,,,
20,100B106,,,,2025-09-23T00:00:00,,ALGEMEEN,1,,,admin@logos-scholengroep.nl,,0345637980,https://www.logos-scholengroep.nl,Meent,24,,4141AC,LEERDAM,Meent,24,,4141AC,LEERDAM,,,,,,,,
21,100B112,,,,2020-03-03T00:00:00,,ALGEMEEN,1,,Secretariaat,info@dehoekscheschool.nl,,0786295999,http://www.dehoekscheschool.nl,Biezenvijver,5,,3297GK,PUTTERSHOEK,Biezenvijver,5,,3297GK,PUTTERSHOEK,,,,,,,,
22,100B124,,,,2021-07-16T00:00:00,,ALGEMEEN,1,,,info@wereldkidz.nl,,030-6969100,,Laan van Vollenhove,3279,,3706AS,Zeist,Postbus,344,,3700AH,ZEIST,,,,,,,,
23,100B141,,,,2024-09-04T00:00:00,,ALGEMEEN,1,,algemeen,info@leerplein055.nl,,0555393750,http://www.leerplein055.nl,2e Wormenseweg,80,,7331VG,APELDOORN,Postbus,10098,,7301GB,APELDOORN,,,,,,,,
24,100B150,,,,2025-03-20T00:00:00,,ALGEMEEN,1,"BOOR Services, bestuur en beleid","BOOR Services, bestuur en beleid",info@stichtingboor.nl,,0102540800,http://www.stichtingboor.nl,Schiekade,34,,3032AJ,ROTTERDAM,Postbus,23058,,3001KB,ROTTERDAM,,,,,,,,
25,100B153,,,,2024-09-18T00:00:00,,ALGEMEEN,1,,,bestuurssecretariaat@asg.nl,,0365406363,https://www.asg.nl,Bongerdstraat,1,,1326AA,Almere,Postbus,60276,,1320AH,ALMERE,,,,,,,,
26,100B176,,,,2011-04-14T00:00:00,,ALGEMEEN,1,,,,,0515857020,http://www.odysseescholen.nl,Bredyk,4,,8601ZD,SNEEK,Bredyk,4,,8601ZD,SNEEK,,,,,,,,
27,100B190,,,,2020-02-18T00:00:00,,ALGEMEEN,1,,,kse@kse.nl,,0765015905,http://www.k-s-e.nl,Stijn Streuvelslaan,42,,4873EB,ETTEN-LEUR,Postbus,159,,4870AD,ETTEN-LEUR,,,,,,,,
28,100B192,,,,1900-01-01T00:00:00,,ALGEMEEN,1,,,,,0383761979,,Hulststraat,2,,8091TX,WEZEP,Postbus,41,,8090AA,WEZEP,,,,,,,,
29,100B193,,,,2020-01-27T00:00:00,,ALGEMEEN,1,,,het@amsterdamslyceum.nl,,0205747744,http://www.amsterdamslyceum.nl,Valeriusplein,15,,1075BJ,AMSTERDAM,Valeriusplein,15,,1075BJ,AMSTERDAM,,,,,,,,
30,100B194,,,,1928-02-23T00:00:00,,ALGEMEEN,1,,,,,0206627983,,Brahmsstraat,7,,1077HE,AMSTERDAM,Brahmsstraat,7,,1077HE,AMSTERDAM,,,,,,,,
31,100B199,,,,2022-03-24T00:00:00,,ALGEMEEN,1,,Bestuur,bestuurskantoor@vsnon.nl,,0575533860,http://www.vsnon.nl,Dreef,4,b,7202AG,Zutphen,Postbus,4086,,7200BB,ZUTPHEN,,,,,,,,
32,100B201,,,,1973-03-22T00:00:00,,ALGEMEEN,1,,,,,0115694029,,Zeldenrustlaan,2,,4535GZ,TERNEUZEN,Postbus,146,,4530AC,TERNEUZEN,,,,,,,,
33,100B206,,,,2012-08-07T00:00:00,,ALGEMEEN,1,,,,,0725488888,http://www.alkmaar.nl,Langestraat,97,,1811JD,ALKMAAR,Postbus,53,,1800BC,ALKMAAR,,,,,,,,
34,100B207,,,,1999-02-03T00:00:00,,ALGEMEEN,1,,,,,0302861000,,Vinkenburgstraat,26,,3512AW,UTRECHT,Postbus,2158,,3500GD,UTRECHT,,,,,,,,
35,100B208,,,,2023-07-03T00:00:00,,ALGEMEEN,1,,,info@ameland.nl,,0519555555,http://www.ameland.nl,Jelmeraweg,1,,9162EA,BALLUM,Postbus,22,,9160AA,HOLLUM,,,,,,,,
36,100B209,,,,1999-08-01T00:00:00,,ALGEMEEN,1,,,,,0205404460,,Laan Nieuwer-Amstel,1,,1182JR,AMSTELVEEN,Postbus,4,,1180BA,AMSTELVEEN,,,,,,,,
37,100B211,,,,2020-01-27T00:00:00,,ALGEMEEN,1,,Praktijkonderwijs Assen,algemeen@proassen.nl,,0592366911,http://www.pro-assen.nl,Noordersingel,33,,9401JW,ASSEN,Postbus,91,,7940AB,MEPPEL,,,,,,,,
